Object_Name,first_score,last_score,iterations,result
002_master_chef_can.obj,358.3355887,358.3355887,1,SUCCESS
018_plum.obj,358.189482,358.189482,1,SUCCESS
003_cracker_box.obj,358.0246721,358.0246721,1,SUCCESS
003_cracker_box.obj,357.7460904,357.7460904,1,SUCCESS
002_master_chef_can.obj,335.7261699,357.6033197,3,SUCCESS
003_cracker_box.obj,356.9456941,356.9456941,1,SUCCESS
003_cracker_box.obj,356.7830974,356.7830974,1,SUCCESS
002_master_chef_can.obj,356.6781527,356.6781527,1,SUCCESS
011_banana.obj,356.5657238,356.5657238,1,SUCCESS
003_cracker_box.obj,356.3221625,356.3221625,1,SUCCESS
003_cracker_box.obj,356.2735365,356.2735365,1,SUCCESS
003_cracker_box.obj,349.7156882,356.2038027,2,SUCCESS
002_master_chef_can.obj,355.9821301,355.9821301,1,SUCCESS
003_cracker_box.obj,342.156869,355.80465,2,SUCCESS
003_cracker_box.obj,331.2980574,355.7601722,2,SUCCESS
003_cracker_box.obj,339.8600889,355.5591745,2,SUCCESS
002_master_chef_can.obj,355.5157276,355.5157276,1,SUCCESS
003_cracker_box.obj,355.4375813,355.4375813,1,SUCCESS
011_banana.obj,355.4077524,355.4077524,1,SUCCESS
003_cracker_box.obj,349.3926065,355.1003776,2,SUCCESS
003_cracker_box.obj,312.1678149,355.1001105,5,SUCCESS
003_cracker_box.obj,355.0170437,355.0170437,1,SUCCESS
003_cracker_box.obj,344.5679594,354.9065222,2,SUCCESS
018_plum.obj,354.8301481,354.8301481,1,SUCCESS
003_cracker_box.obj,328.5943509,354.8065507,5,SUCCESS
002_master_chef_can.obj,349.4200229,354.73879,2,SUCCESS
018_plum.obj,354.4797675,354.4797675,1,SUCCESS
002_master_chef_can.obj,349.2787841,354.2481285,2,SUCCESS
003_cracker_box.obj,349.4415767,354.1244443,2,SUCCESS
003_cracker_box.obj,354.0160134,354.0160134,1,SUCCESS
018_plum.obj,353.949357,353.949357,1,SUCCESS
003_cracker_box.obj,353.91915,353.91915,1,SUCCESS
018_plum.obj,353.8803571,353.8803571,1,SUCCESS
018_plum.obj,353.7485356,353.7485356,1,SUCCESS
018_plum.obj,349.6549625,353.695222,2,SUCCESS
011_banana.obj,347.8299553,353.3832844,2,SUCCESS
002_master_chef_can.obj,353.2929492,353.2929492,1,SUCCESS
003_cracker_box.obj,347.6212637,353.2845938,2,SUCCESS
003_cracker_box.obj,340.9934728,353.2834368,2,SUCCESS
002_master_chef_can.obj,353.2775551,353.2775551,1,SUCCESS
003_cracker_box.obj,339.93266,353.2406063,2,SUCCESS
003_cracker_box.obj,353.1966372,353.1966372,1,SUCCESS
002_master_chef_can.obj,353.1888785,353.1888785,1,SUCCESS
003_cracker_box.obj,353.1135295,353.1135295,1,SUCCESS
003_cracker_box.obj,347.3432145,353.091469,2,SUCCESS
018_plum.obj,349.5535724,353.0805131,2,SUCCESS
002_master_chef_can.obj,353.056841,353.056841,1,SUCCESS
018_plum.obj,353.0240849,353.0240849,1,SUCCESS
002_master_chef_can.obj,353.0153462,353.0153462,1,SUCCESS
003_cracker_box.obj,352.9990818,352.9990818,1,SUCCESS
018_plum.obj,352.9042909,352.9042909,1,SUCCESS
003_cracker_box.obj,290.9672841,352.8055593,7,SUCCESS
018_plum.obj,352.6906553,352.6906553,1,SUCCESS
018_plum.obj,352.6767066,352.6767066,1,SUCCESS
003_cracker_box.obj,352.6450186,352.6450186,1,SUCCESS
003_cracker_box.obj,352.60668,352.60668,1,SUCCESS
002_master_chef_can.obj,352.5878808,352.5878808,1,SUCCESS
003_cracker_box.obj,352.5085733,352.5085733,1,SUCCESS
002_master_chef_can.obj,352.499431,352.499431,1,SUCCESS
003_cracker_box.obj,348.9769906,352.4901276,2,SUCCESS
003_cracker_box.obj,344.2820091,352.398129,3,SUCCESS
003_cracker_box.obj,345.3197514,352.3531762,2,SUCCESS
003_cracker_box.obj,335.1724167,352.3523846,5,SUCCESS
003_cracker_box.obj,352.3443178,352.3443178,1,SUCCESS
018_plum.obj,352.3248093,352.3248093,1,SUCCESS
011_banana.obj,345.2198514,352.3217745,2,SUCCESS
003_cracker_box.obj,352.1466825,352.1466825,1,SUCCESS
003_cracker_box.obj,296.9549079,352.1288271,7,SUCCESS
