Object_Name,first_score,last_score,iterations,result
072-a_toy_airplane.obj,[180.16627532],[180.31204323],2,FAILURE
072-a_toy_airplane.obj,[176.98234233],[177.86019127],2,FAILURE
072-a_toy_airplane.obj,[180.0415999],[180.10524289],2,FAILURE
072-a_toy_airplane.obj,[213.89893347],[216.83770286],2,FAILURE
072-a_toy_airplane.obj,[192.98209214],[194.98517499],2,FAILURE
072-a_toy_airplane.obj,[170.11116112],[170.96096922],2,FAILURE
072-a_toy_airplane.obj,[194.19318607],[199.61879249],3,FAILURE
072-a_toy_airplane.obj,[235.21408854],[235.21408854],2,FAILURE
072-a_toy_airplane.obj,[174.42426628],[174.42426628],2,FAILURE
072-a_toy_airplane.obj,[332.07985626],[332.07985626],1,SUCCESS
072-a_toy_airplane.obj,[233.8184549],[244.08679005],3,FAILURE
072-a_toy_airplane.obj,[180.19915709],[180.49349106],2,FAILURE
072-a_toy_airplane.obj,[178.71292041],[179.16353391],2,FAILURE
072-a_toy_airplane.obj,[175.6444321],[175.6444321],1,FAILURE
072-a_toy_airplane.obj,[154.86093172],[159.47204859],2,FAILURE
072-a_toy_airplane.obj,[257.36488354],[261.33973125],2,FAILURE
072-a_toy_airplane.obj,[203.04451454],[203.2527088],2,FAILURE
072-a_toy_airplane.obj,[231.95495734],[232.42984872],6,FAILURE
072-a_toy_airplane.obj,[154.02310708],[155.19998464],3,FAILURE
072-a_toy_airplane.obj,[152.26809733],[153.2010239],2,FAILURE
072-a_toy_airplane.obj,[205.93268818],[205.93268818],1,FAILURE
072-a_toy_airplane.obj,[49.42251354],[49.42251354],2,FAILURE
072-a_toy_airplane.obj,[197.6135385],[197.6135385],1,FAILURE
072-a_toy_airplane.obj,[275.20701699],[275.20701699],1,FAILURE
072-a_toy_airplane.obj,[255.67534428],[256.58623939],2,FAILURE
072-a_toy_airplane.obj,[215.16647777],[344.91358263],6,SUCCESS
072-a_toy_airplane.obj,[277.01310398],[277.01310398],1,FAILURE
072-a_toy_airplane.obj,[239.18375809],[239.92505854],2,FAILURE
072-a_toy_airplane.obj,[180.14879042],[180.86563181],2,FAILURE
072-a_toy_airplane.obj,[180.58197847],[180.99730568],3,FAILURE
072-a_toy_airplane.obj,[222.00116479],[222.00116479],1,FAILURE
072-a_toy_airplane.obj,[153.30484207],[153.82157535],2,FAILURE
072-a_toy_airplane.obj,[209.51088076],[210.96180393],2,FAILURE
072-a_toy_airplane.obj,[261.727859],[261.727859],1,FAILURE
072-a_toy_airplane.obj,[233.81373606],[233.91784597],2,FAILURE
072-a_toy_airplane.obj,[291.908764],[293.5971341],2,FAILURE
072-a_toy_airplane.obj,[184.90102758],[185.97573914],2,FAILURE
072-a_toy_airplane.obj,[126.44275625],[129.32215266],2,FAILURE
072-a_toy_airplane.obj,[173.20694928],[173.63221324],2,FAILURE
072-a_toy_airplane.obj,[271.22198807],[271.22198807],1,FAILURE
072-a_toy_airplane.obj,[230.9685375],[230.9685375],1,FAILURE
072-a_toy_airplane.obj,[206.69756283],[207.32124368],2,FAILURE
072-a_toy_airplane.obj,[248.00217352],[251.5847522],3,FAILURE
072-a_toy_airplane.obj,[263.58201169],[264.4935224],2,FAILURE
072-a_toy_airplane.obj,[198.19170942],[210.02630405],5,FAILURE
072-a_toy_airplane.obj,[231.63618102],[232.92225567],2,FAILURE
072-a_toy_airplane.obj,[155.96000783],[156.6618526],2,FAILURE
072-a_toy_airplane.obj,[239.61315069],[239.61315069],2,FAILURE
072-a_toy_airplane.obj,[255.05643689],[255.05643689],1,FAILURE
072-a_toy_airplane.obj,[310.91536491],[310.91536491],1,FAILURE
072-a_toy_airplane.obj,[246.49510116],[246.49510116],1,FAILURE
072-a_toy_airplane.obj,[309.25119009],[324.9755195],2,FAILURE
072-a_toy_airplane.obj,[226.08454913],[226.08454913],1,FAILURE
072-a_toy_airplane.obj,[265.57897086],[271.32556055],6,FAILURE
072-a_toy_airplane.obj,[260.89752639],[260.98751419],2,FAILURE
072-a_toy_airplane.obj,[98.86018841],[122.78866862],6,FAILURE
072-a_toy_airplane.obj,[255.92778037],[255.92778037],1,FAILURE
072-a_toy_airplane.obj,[240.79202422],[243.20464703],2,FAILURE
072-a_toy_airplane.obj,[172.60383753],[173.79764649],2,FAILURE
072-a_toy_airplane.obj,[149.98571007],[149.98571007],1,FAILURE
072-a_toy_airplane.obj,[202.3848846],[203.80200753],2,FAILURE
072-a_toy_airplane.obj,[272.47889711],[272.47889711],1,FAILURE
072-a_toy_airplane.obj,[136.95049235],[136.95049235],1,FAILURE
072-a_toy_airplane.obj,[197.27280913],[197.27280913],1,FAILURE
072-a_toy_airplane.obj,[265.03329406],[268.15037726],2,FAILURE
072-a_toy_airplane.obj,[233.52299238],[233.61501053],2,FAILURE
072-a_toy_airplane.obj,[198.78560205],[198.90346089],2,FAILURE
072-a_toy_airplane.obj,[175.71084143],[175.73913704],2,FAILURE
072-a_toy_airplane.obj,[272.12523059],[273.27452326],3,FAILURE
072-a_toy_airplane.obj,[193.17402517],[193.17402517],1,FAILURE
072-a_toy_airplane.obj,[184.55783702],[184.55783702],1,FAILURE
072-a_toy_airplane.obj,[115.37856427],[137.69143652],5,FAILURE
072-a_toy_airplane.obj,[189.2888706],[190.14987314],2,FAILURE
072-a_toy_airplane.obj,[175.84056139],[175.84056139],2,FAILURE
072-a_toy_airplane.obj,[234.02909861],[238.96160089],2,FAILURE
072-a_toy_airplane.obj,[193.4610519],[195.56155958],2,FAILURE
072-a_toy_airplane.obj,[232.40423979],[235.93385347],4,FAILURE
072-a_toy_airplane.obj,[179.92276633],[179.92619831],2,FAILURE
072-a_toy_airplane.obj,[255.1056224],[258.06919116],2,FAILURE
072-a_toy_airplane.obj,[235.93908294],[239.61639039],3,FAILURE
072-a_toy_airplane.obj,[175.55818154],[177.89564801],2,FAILURE
072-a_toy_airplane.obj,[167.59700716],[178.35180302],8,FAILURE
072-a_toy_airplane.obj,[180.81141279],[180.85973819],2,FAILURE
072-a_toy_airplane.obj,[126.10920174],[132.94847313],4,FAILURE
072-a_toy_airplane.obj,[215.06179992],[216.6582009],2,FAILURE
072-a_toy_airplane.obj,[253.49647364],[253.49647364],1,FAILURE
072-a_toy_airplane.obj,[182.40194215],[182.48207517],2,FAILURE
072-a_toy_airplane.obj,[99.1624608],[100.18273098],2,FAILURE
072-a_toy_airplane.obj,[233.39575844],[235.08898983],2,FAILURE
072-a_toy_airplane.obj,[253.29326868],[253.29326868],1,FAILURE
072-a_toy_airplane.obj,[164.09226342],[164.09226342],1,FAILURE
072-a_toy_airplane.obj,[236.05892502],[236.05892502],1,FAILURE
072-a_toy_airplane.obj,[196.31404702],[199.16345733],2,FAILURE
072-a_toy_airplane.obj,[129.35468248],[132.40528889],2,FAILURE
072-a_toy_airplane.obj,[182.5971853],[182.86528436],2,FAILURE
072-a_toy_airplane.obj,[203.53549952],[203.53549952],1,FAILURE
072-a_toy_airplane.obj,[270.56153903],[270.56153903],1,FAILURE
072-a_toy_airplane.obj,[132.77646579],[134.12464977],2,FAILURE
072-a_toy_airplane.obj,[281.13681679],[281.13681679],2,FAILURE
072-a_toy_airplane.obj,[196.97610139],[199.09014781],2,FAILURE
072-a_toy_airplane.obj,[279.91347203],[279.91347203],1,FAILURE
072-a_toy_airplane.obj,[205.75426549],[205.78933397],2,FAILURE
072-a_toy_airplane.obj,[248.66817423],[253.56531174],3,FAILURE
072-a_toy_airplane.obj,[164.14581826],[164.98418488],2,FAILURE
072-a_toy_airplane.obj,[226.52421103],[233.72918589],2,FAILURE
072-a_toy_airplane.obj,[278.92674344],[278.92674344],1,FAILURE
072-a_toy_airplane.obj,[179.69061734],[187.34565747],2,FAILURE
072-a_toy_airplane.obj,[173.38213929],[175.82345695],2,FAILURE
072-a_toy_airplane.obj,[240.16439334],[245.83142193],3,FAILURE
072-a_toy_airplane.obj,[106.80434941],[157.96490016],10,FAILURE
072-a_toy_airplane.obj,[190.85870176],[191.1260703],2,FAILURE
072-a_toy_airplane.obj,[177.34530756],[179.06014116],2,FAILURE
072-a_toy_airplane.obj,[206.215966],[207.63286674],2,FAILURE
072-a_toy_airplane.obj,[252.1125154],[253.57309125],2,FAILURE
072-a_toy_airplane.obj,[180.89513679],[180.97386793],2,FAILURE
072-a_toy_airplane.obj,[181.31813193],[181.31813193],2,FAILURE
072-a_toy_airplane.obj,[159.94678399],[161.94536225],3,FAILURE
072-a_toy_airplane.obj,[173.86072973],[174.31923333],2,FAILURE
072-a_toy_airplane.obj,[139.71435152],[144.15583059],2,FAILURE
072-a_toy_airplane.obj,[201.90702442],[204.71702861],3,FAILURE
072-a_toy_airplane.obj,[284.53145481],[285.65485169],2,FAILURE
072-a_toy_airplane.obj,[137.93392943],[138.93865228],2,FAILURE
072-a_toy_airplane.obj,[245.57987768],[251.06167435],2,FAILURE
072-a_toy_airplane.obj,[216.7035881],[222.57076279],5,FAILURE
072-a_toy_airplane.obj,[223.07393757],[228.50130268],4,FAILURE
072-a_toy_airplane.obj,[220.68896401],[221.41585051],4,FAILURE
072-a_toy_airplane.obj,[193.2375623],[194.96582419],3,FAILURE
072-a_toy_airplane.obj,[180.2828603],[180.48494012],3,FAILURE
072-a_toy_airplane.obj,[196.10783294],[198.27848921],2,FAILURE
072-a_toy_airplane.obj,[215.19650051],[219.30416896],3,FAILURE
072-a_toy_airplane.obj,[186.6880533],[187.81139792],2,FAILURE
072-a_toy_airplane.obj,[91.96844775],[93.15601216],2,FAILURE
072-a_toy_airplane.obj,[176.06163066],[180.11341878],2,FAILURE
072-a_toy_airplane.obj,[176.09160755],[176.25357429],2,FAILURE
072-a_toy_airplane.obj,[167.80475706],[167.80475706],1,FAILURE
072-a_toy_airplane.obj,[258.24569505],[258.24569505],1,FAILURE
072-a_toy_airplane.obj,[237.63438973],[237.63438973],1,FAILURE
072-a_toy_airplane.obj,[196.70730555],[196.96082109],2,FAILURE
072-a_toy_airplane.obj,[268.65034297],[269.2435612],2,FAILURE
072-a_toy_airplane.obj,[277.25530194],[280.06059867],2,FAILURE
072-a_toy_airplane.obj,[237.72206201],[286.70605102],2,FAILURE
072-a_toy_airplane.obj,[172.4881808],[172.4881808],1,FAILURE
072-a_toy_airplane.obj,[193.63951689],[199.85312463],3,FAILURE
072-a_toy_airplane.obj,[257.76244299],[259.66852472],2,FAILURE
072-a_toy_airplane.obj,[233.24757472],[233.24757472],1,FAILURE
072-a_toy_airplane.obj,[141.54038275],[144.98736822],5,FAILURE
072-a_toy_airplane.obj,[182.43086864],[184.87332427],3,FAILURE
072-a_toy_airplane.obj,[251.04258479],[261.35236275],4,FAILURE
072-a_toy_airplane.obj,[276.43867151],[278.86388678],2,FAILURE
072-a_toy_airplane.obj,[263.81820274],[264.87539343],2,FAILURE
072-a_toy_airplane.obj,[179.87807913],[180.18633746],2,FAILURE
072-a_toy_airplane.obj,[181.35826806],[181.75571864],4,FAILURE
072-a_toy_airplane.obj,[203.43058361],[205.32804048],2,FAILURE
072-a_toy_airplane.obj,[260.87501311],[271.88658938],4,FAILURE
072-a_toy_airplane.obj,[122.10902663],[122.74565664],2,FAILURE
072-a_toy_airplane.obj,[212.77571107],[218.73142669],4,FAILURE
072-a_toy_airplane.obj,[201.19147446],[201.19147446],1,FAILURE
072-a_toy_airplane.obj,[180.37777825],[180.75205047],4,FAILURE
072-a_toy_airplane.obj,[193.20446996],[193.42020006],2,FAILURE
072-a_toy_airplane.obj,[150.61329108],[153.26401315],2,FAILURE
072-a_toy_airplane.obj,[261.04114072],[262.01063141],2,FAILURE
072-a_toy_airplane.obj,[258.13824346],[261.29553299],2,FAILURE
072-a_toy_airplane.obj,[128.07925356],[132.39303016],3,FAILURE
072-a_toy_airplane.obj,[188.5944615],[189.20356227],2,FAILURE
072-a_toy_airplane.obj,[337.16208467],[337.16208467],1,SUCCESS
072-a_toy_airplane.obj,[215.15060823],[216.41521698],2,FAILURE
072-a_toy_airplane.obj,[176.8981982],[176.8981982],1,FAILURE
072-a_toy_airplane.obj,[192.67230107],[194.40769976],2,FAILURE
072-a_toy_airplane.obj,[176.87479143],[189.75311953],3,FAILURE
072-a_toy_airplane.obj,[208.55719427],[209.06468288],2,FAILURE
072-a_toy_airplane.obj,[201.13704112],[204.5310517],2,FAILURE
072-a_toy_airplane.obj,[163.81934027],[168.86164743],5,FAILURE
072-a_toy_airplane.obj,[182.64609276],[183.48599575],2,FAILURE
072-a_toy_airplane.obj,[193.27805239],[194.58871997],2,FAILURE
072-a_toy_airplane.obj,[291.00125501],[293.5823508],2,FAILURE
072-a_toy_airplane.obj,[220.78354521],[221.73429687],2,FAILURE
072-a_toy_airplane.obj,[341.45653407],[341.45653407],1,SUCCESS
072-a_toy_airplane.obj,[113.54793268],[114.32331241],2,FAILURE
072-a_toy_airplane.obj,[176.1133359],[177.09207187],2,FAILURE
072-a_toy_airplane.obj,[345.28728771],[345.28728771],1,SUCCESS
072-a_toy_airplane.obj,[139.08318078],[140.09242775],2,FAILURE
072-a_toy_airplane.obj,[142.19905171],[143.20417458],2,FAILURE
072-a_toy_airplane.obj,[188.93400596],[189.70302197],3,FAILURE
072-a_toy_airplane.obj,[207.25918845],[207.25918845],1,FAILURE
072-a_toy_airplane.obj,[327.12261685],[331.03153744],2,SUCCESS
072-a_toy_airplane.obj,[251.23966163],[254.12114704],2,FAILURE
072-a_toy_airplane.obj,[224.79139272],[225.8054179],2,FAILURE
072-a_toy_airplane.obj,[189.70099731],[190.59671896],2,FAILURE
072-a_toy_airplane.obj,[126.30327451],[127.68734383],2,FAILURE
072-a_toy_airplane.obj,[62.72622673],[78.67645663],4,FAILURE
072-a_toy_airplane.obj,[261.86305815],[270.45726177],4,FAILURE
072-a_toy_airplane.obj,[154.67084065],[154.67084065],1,FAILURE
072-a_toy_airplane.obj,[239.29251506],[240.41926312],2,FAILURE
072-a_toy_airplane.obj,[203.54131997],[203.61105415],2,FAILURE
072-a_toy_airplane.obj,[213.50399989],[222.37171221],3,FAILURE
072-a_toy_airplane.obj,[179.69473848],[180.19880539],3,FAILURE
072-a_toy_airplane.obj,[275.67735606],[276.02127207],2,FAILURE
072-a_toy_airplane.obj,[95.990968],[99.54270578],3,FAILURE
072-a_toy_airplane.obj,[181.16387629],[181.56966247],2,FAILURE
072-a_toy_airplane.obj,[166.69397188],[169.12731208],3,FAILURE
072-a_toy_airplane.obj,[182.9083478],[182.9083478],1,FAILURE
072-a_toy_airplane.obj,[216.92324153],[217.28340421],2,FAILURE
072-a_toy_airplane.obj,[212.67371092],[216.80952882],2,FAILURE
072-a_toy_airplane.obj,[231.44772971],[231.69867688],2,FAILURE
072-a_toy_airplane.obj,[165.70222478],[165.70222478],1,FAILURE
072-a_toy_airplane.obj,[109.28424687],[111.22179012],2,FAILURE
072-a_toy_airplane.obj,[138.56713508],[138.56713508],1,FAILURE
072-a_toy_airplane.obj,[207.95572525],[210.36566239],2,FAILURE
072-a_toy_airplane.obj,[213.23806486],[213.29227825],2,FAILURE
072-a_toy_airplane.obj,[211.89487169],[216.27995227],3,FAILURE
072-a_toy_airplane.obj,[217.18918637],[223.21903487],3,FAILURE
072-a_toy_airplane.obj,[304.56192331],[305.47605696],2,FAILURE
072-a_toy_airplane.obj,[179.78101164],[179.87247997],2,FAILURE
072-a_toy_airplane.obj,[176.80176732],[178.8419331],2,FAILURE
072-a_toy_airplane.obj,[167.60041942],[167.60041942],1,FAILURE
072-a_toy_airplane.obj,[207.58809647],[208.67748258],2,FAILURE
072-a_toy_airplane.obj,[181.30785905],[181.30785905],1,FAILURE
072-a_toy_airplane.obj,[231.525212],[238.87862225],4,FAILURE
072-a_toy_airplane.obj,[200.35793356],[205.8165026],4,FAILURE
072-a_toy_airplane.obj,[179.79430481],[180.34126307],2,FAILURE
072-a_toy_airplane.obj,[208.19658329],[211.36474347],3,FAILURE
072-a_toy_airplane.obj,[155.46014094],[161.83135357],3,FAILURE
072-a_toy_airplane.obj,[177.4989993],[177.4989993],1,FAILURE
072-a_toy_airplane.obj,[203.69945809],[203.69945809],1,FAILURE
072-a_toy_airplane.obj,[150.53010827],[150.53010827],1,FAILURE
072-a_toy_airplane.obj,[86.11019899],[86.11019899],1,FAILURE
072-a_toy_airplane.obj,[230.93610874],[233.30377548],2,FAILURE
072-a_toy_airplane.obj,[203.73221509],[203.73221509],1,FAILURE
072-a_toy_airplane.obj,[177.54133624],[179.24735199],2,FAILURE
072-a_toy_airplane.obj,[239.62413916],[241.01340925],2,FAILURE
072-a_toy_airplane.obj,[77.38044854],[78.65393264],2,FAILURE
072-a_toy_airplane.obj,[315.68614287],[315.68614287],1,FAILURE
072-a_toy_airplane.obj,[224.79071091],[226.50053627],4,FAILURE
072-a_toy_airplane.obj,[254.46909256],[259.15068327],2,FAILURE
072-a_toy_airplane.obj,[244.10562691],[244.23739993],2,FAILURE
072-a_toy_airplane.obj,[136.74253926],[136.74253926],1,FAILURE
072-a_toy_airplane.obj,[246.20433778],[246.20433778],1,FAILURE
072-a_toy_airplane.obj,[229.98662438],[234.05187278],3,FAILURE
072-a_toy_airplane.obj,[340.06164574],[340.06164574],1,SUCCESS
072-a_toy_airplane.obj,[206.6971898],[210.47446986],3,FAILURE
072-a_toy_airplane.obj,[143.85937872],[144.69518086],2,FAILURE
072-a_toy_airplane.obj,[286.94067096],[287.02452743],2,FAILURE
072-a_toy_airplane.obj,[152.75224467],[153.07091635],2,FAILURE
072-a_toy_airplane.obj,[142.71340003],[144.21889544],2,FAILURE
072-a_toy_airplane.obj,[154.26289374],[154.26289374],1,FAILURE
072-a_toy_airplane.obj,[230.62992324],[233.64809539],2,FAILURE
072-a_toy_airplane.obj,[182.36250802],[183.30936869],2,FAILURE
072-a_toy_airplane.obj,[232.40692428],[234.00845463],2,FAILURE
072-a_toy_airplane.obj,[197.28959672],[199.74283114],2,FAILURE
072-a_toy_airplane.obj,[217.07356171],[217.07356171],1,FAILURE
